adm0,USPS,state,county,fips,age_groups,pop,age_prop
USA,AL,Alabama,Autauga County,01001,0_4,3364,0.0605
USA,AL,Alabama,Baldwin County,01003,0_4,11955,0.0548
USA,AL,Alabama,Barbour County,01005,0_4,1284,0.0516
USA,AL,Alabama,Bibb County,01007,0_4,1285,0.0574
USA,AL,Alabama,Blount County,01009,0_4,3460,0.0598
USA,AL,Alabama,Bullock County,01011,0_4,600,0.0592
USA,AL,Alabama,Butler County,01013,0_4,1119,0.0569
USA,AL,Alabama,Calhoun County,01015,0_4,6580,0.0576
USA,AL,Alabama,Chambers County,01017,0_4,1929,0.0574
USA,AL,Alabama,Cherokee County,01019,0_4,1206,0.0463
USA,AL,Alabama,Chilton County,01021,0_4,2730,0.0618
USA,AL,Alabama,Choctaw County,01023,0_4,673,0.0524
USA,AL,Alabama,Clarke County,01025,0_4,1386,0.0579
USA,AL,Alabama,Clay County,01027,0_4,687,0.0518
USA,AL,Alabama,Cleburne County,01029,0_4,894,0.0597
USA,AL,Alabama,Coffee County,01031,0_4,3211,0.0619
USA,AL,Alabama,Colbert County,01033,0_4,3108,0.0568
USA,AL,Alabama,Conecuh County,01035,0_4,652,0.0531
USA,AL,Alabama,Coosa County,01037,0_4,488,0.0455
USA,AL,Alabama,Covington County,01039,0_4,2203,0.0596
USA,AL,Alabama,Crenshaw County,01041,0_4,798,0.0577
USA,AL,Alabama,Cullman County,01043,0_4,5162,0.0619
USA,AL,Alabama,Dale County,01045,0_4,3268,0.0668
USA,AL,Alabama,Dallas County,01047,0_4,2335,0.061
USA,AL,Alabama,DeKalb County,01049,0_4,4237,0.0594
USA,AL,Alabama,Elmore County,01051,0_4,4713,0.0576
USA,AL,Alabama,Escambia County,01053,0_4,2187,0.0595
USA,AL,Alabama,Etowah County,01055,0_4,5902,0.0576
USA,AL,Alabama,Fayette County,01057,0_4,921,0.056
USA,AL,Alabama,Franklin County,01059,0_4,2084,0.0664
USA,AL,Alabama,Geneva County,01061,0_4,1422,0.054
USA,AL,Alabama,Greene County,01063,0_4,475,0.0577
USA,AL,Alabama,Hale County,01065,0_4,979,0.0665
USA,AL,Alabama,Henry County,01067,0_4,915,0.0532
